,text,topic
0,"Whether audiences will get behind The Lightning Thief is hard to predict. Overall, it's an entertaining introduction to a promising new world -- but will the consuming shadow of Potter be too big to break free of?",movie
1,Harry Potter knockoffs don't come more transparent and slapdash than this wannabe-franchise jumpstarter directed by Chris Columbus.,movie
2,"Percy Jackson isn't a great movie, but it's a good one, trotting out kernels of Greek mythology like so many Disney Channel references.",movie
3,"Fun, brisk and imaginative",movie
4,"Crammed with dragons, set-destroying fights and things exploding, [Columbus] squeezes in a few well-meaning pause breaks about friendship and absent fathers before swiftly moving on to the next pyrotechnics display.",movie
5,"This action-packed fantasy adventure, based on Rick Riordan's hit Percy Jackson and the Olympians series of books, is great fun, and deserves to find an audience with teens now bereft of any Harry Potter magic.",movie
6,"For what it is and for whom it is intended, it's not a bad movie, just an indifferent one.",movie
7,"Chris Columbus returns to his comfort zone for this mirthless, episodic fantasy saga based on the young-reader book series by Rick Riordan.",movie
8,The best thing you can say about Chris Columbus's adaptation is that he's incapable of destroying whatever magic and wonder it is in these books that has kept kids coming back for more.,movie
9,This cast is simply too generic. None of the young thespians stick out.,movie
10,"Percy Jackson may not be ""Harry Potter good,"" but kids will really enjoy it and parents will be happy to have a moviethey can bring them to that's family-friendly.",movie
11,"Admirably, the movie isn't bogged down in the exposition common to first entries, but at the end, it's a franchise searching for its voice.",movie
12,The main thing this movie seems to be missing is classically trained British actors.,movie
13,"Imperfect, yes, but also both suitably imaginative and entertaining. Works as action-adventure razzle-dazzle, coming-of-age tale, and beginners' lesson on Greek mythology.",movie
14,"Although the standard allegorical bases for mythical-quest movies are dutifully covered, the obvious similarity of Percy Jackson to the Harry Potter movies inevitably makes it feel somewhat secondhand.",movie
15,"A little bit worse than lifeless; it's clueless, like a Medusa running around with her head cut off.",movie
16,You don't even have to be familiar with the first book in Rick Riordan's popular fantasy series to enjoy Chris Columbus' energetic adaptation.,movie
17,"This is generic filmmaking at its most banal, a simple-minded simplification of a not overwhelmingly complex book.",movie
18,"Kids may well enjoy the adventures of The Lightning Thief on screen, but I think most readers will prefer the movie in their imaginations.",movie
19,An attempt to steal some of Harry Potter's thunder that also stands on its own as a well-made large-scale adventure that works well enough to entertain the teens it's hoping to strike.,movie
20,"With great effects (and a few surprises) it's a fun, Saturday-matinee adventure.",movie
21,"While this might not rival the later, better Harry Potter movies or the Lord of the Rings trilogy, it's more fun than you might expect.",movie
22,"Percy Jackson & the Olympians sounds like an Otis Redding cover band. It is, instead, an unofficial cover of the Harry Potter franchise.",movie
23,"In Columbus' hands, it once again all breaks down into a series of rushed, breathless special-effects setpieces, in a thrill ride that isn't headed anywhere new.",movie
24,The Lightning Thief makes the idea of a sequel seem like an inviting proposition.,movie
25,"Columbus aims at nothing more than providing a rambunctious romp. He nimbly avoids the fate that has snared other film adaptations, like Eragon and Inkheart.",movie
26,gets so many things right that when it goes astray that you kind of wish it hadn't tried in the first place,movie
27,"The Lightning Thief isn't electric, but it generates some spark when it varies the Grecian formula.",movie
28,"Chris Columbus and his crew take a literal approach to spectacle that denies the magnificent use of weirdness and scale that famed stop-action animator Ray Harryhausen brought to such myth-inspired classics as ""Jason and the Argonauts"" (1963)...",movie
29,"Even with all its computer-generated fireballs, it's lukewarm medium-budget blockbustering.",movie
30,"The disappearance of lightning simply is not interesting, and Percy Jackson and the Olympians sounds more like a '70s funk band than a kid's series.",movie
31,Uma Thurman demonstrates she can wear a snake-covered head as gracefully as Pierce Brosnan can trot around with a horse's netherlands.,movie
32,The Greek-gods premise lets the filmmakers indulge in some visually whizzy sequences that keep this rather lightweight action movie entertaining.,movie
33,"Enjoyable, nicely paced family adventure with likeable characters, a strong central premise and some decent set-pieces, though the plot's a little hazy in places and the humour doesn't always work.",movie
34,The Lightning Thief is all crass ineptitude and lost potential. Columbus' infantilizing of any character depth and use of leftover Harry Potter special effects will amuse only the smallest in your pantheon.,movie
35,"The plot is a pretty blatant rehash of the typical ""coming-of-age hero"" tropes. Still, while ""Percy Jackson"" may not end up being the next huge and successful franchise, at the very least, it was an honest and amusing two hours.",movie
36,It raises issues it doesn't have the balls to resolve by placing them in a context it doesn't have the brains to exploit.,movie
37,Whew boy.,movie
38,My problems with it are the same as with most screen adaptations of young adult novels...they spend so much time struggling to explain the world they're creating that they forget which parts of the story people want to see...they figure that people (kids),movie
39,Sadly worthy of its dumping into the cinematic boneyard of wintry mid-February.,movie
40,"The camera work is frequently pedestrian, the acting is bland, and the jokes often fall flat.",movie
41,Director Chris Columbus has brought together the modern and mythical spheres with sharp pacing and a nifty sense of fun that atone for the film's dippier moments. It's his most enjoyable effort since Harry Potter and the Chamber of Secrets.,movie
42,"Dutifully Potteresque it begins, and dutifully Potteresque it ends.",movie
43,"Has all the CGI sorcery of a Harry Potter pic, but none of the magic.",movie
44,Columbus knows his way around this kind of material even if some of the special effects look like they came from Deep Discount.,movie
45,"Percy Jackson, you are no Harry Potter. You are not fit to walk in a hobbit's wake.",movie
46,Too scary for younger fans of the popular book.,movie
47,The pleasant surprise is how deftly the story translates the myths from their classical idiom into modern ones and without losing the classical flavor,movie
48,"...great fun for the whole family. And if it introduces you and any young readers in your home to the books, so much the better.",movie
49,"Sorry Mr. Jackson, but Harry Potter you ain't.",movie
50,"A clunky kid-sized epic, able to conjure colossal acts of Greek myth wonderment, but never brave enough to shut its pie hole and let the audience process the screen magic.",movie
51,Harry Potter meets Clash of the Titans … The backdrop of Greek mythology makes an enjoyable change of pace from the medieval fantasy magic of the Potter stories.,movie
52,"While winning the award for longest movie title, it is a film that only goes through the motions.",movie
53,Not without bright moments ... but the story is centered around a trio of young actors who simply aren't operating at the same skill level as their older costars.,movie
54,"Harry, Ron and Hermione: Relax. You could whip Percy Jackson and his pals with your wand hands tied behind your backs.",movie
55,"The film toggles between high camp and deadly earnestness, all the while threatening to drown in an ocean of not-so-special effects.",movie
56,This is a kids' movie: Parents can either get into the silly-suspenseful spirit of it or play Rummikub on their iPhones.,movie
57,"While it certainly isn't terrible, it plays like a low-rent variation of the Harry Potter formula--innocuous but instantly forgettable.",movie
58,All you have at the end of it is an enervating feeling of deja vu.,movie
59,"Like its stars, the film is genial good company.",movie
60,It's apparent that Potter may at last have a worthy successor.,movie
61,"Unfortunately, the movie lacks that good old Potter charm, trading Harry's dark whimsy for a handful of CGI magic beans.",movie
62,"There are lots of cool surprises along the way, and the special effects are fantastic, especially the ones that create Uma Thurman's Medusa snakedo.",movie
63,"Columbus and company have crafted an agreeable mythological jaunt the whole family will enjoy, and while I wouldn't pay more than matinee prices that still means making the quest to the multiplex is a journey worthy of the undertaking.",movie
64,Lerman has a presence even with a mouth full of bad dialogue.,movie
65,This film is replete with plot holes.,movie
66,Some moments of inspired silliness save this escapist adventure from complete dullness.,movie
67,"A dull, scattershot affair that owes much to both X-Men and Greek mythology but which never seems to slow down enough to make any sense whatsoever.",movie
68,...an agreeable fantasy adventure that should leave fans of the genre satisfied.,movie
69,"Director Columbus never quite gets comfortable juggling the film's myriad characters, grandiose-but-stale CGI effects, and PG-friendly battle scenes, speeding headlong through endless plot points rather than taking the time to make any of them matter.",movie
70,"This is what a quality book adaptation should do, stand on it's own, while making you want to explore more. But JESUS! Can we stop the Apple Product Placements! I don't want to see a freaking iPhone in a Fantasy film!!!",movie
71,"Despite so much epic drama in Greek mythology from which to borrow, here we are given little sense of the magnitude of the clash between the quarrelsome gods...",movie
72,"""It is a bit hard to see quite where Percy Jackson and the Lightening Thief's market lies. Too adult for juveniles, too juvenile for adults.",movie
73,So trite and ludicrous it is no threat to the Harry Potter franchise,movie
74,...an attempt to replicate the phenomenon that is Harry Potter.,movie
75,"Maybe if you're aged between eight and 12, or exceptionally dim-witted, you may not notice that this is a tenth-rate rip-off of Harry Potter, with Greek mythology taking the place of magic.",movie
76,"The technical wizardry is spectacular and the story is taut, pacy and consistently inventive.",movie
77,"The film is a rousing blend of special effects, but not so scary that children aged seven and above will spend the entire movie hiding behind their fingers.",movie
78,Percy Jackson & the Olympians is a dutifully made kids' fantasy film that Columbus handles with the basic approach that he wielded on his faithful but vanilla Harry Potter adaptations.,movie
79,"Chris Columbus was a safe choice behind the lens, and he doesn't throw up any surprises. Columbus brings a measured approach that works on the whole, delivering the expected mix of set-ups, set-pieces and edge of your seat showdowns.",movie
80,"An imaginative, if simplistic, visit to classical Greek mythology, an archetypal quest by a lad with paternal issues.",movie
81,"Kids will love it, and adults may relish Pierce Brosnan's Centaur, and Steve Coogan as Hades - in his personal hell just under Hollywood.",movie
82,A slab of market research in search of an actual movie.,movie
83,Percy Jackson manages to make Greek mythology both fun and exciting and is sure to appeal to its key demographic.,movie
84,"Not bad, but JK Rowling can rest easy.",movie
85,There's plenty of larks to be had from a fast-moving fantasy that doesn't take its mythology too seriously and employs actors who don't look like teenage rabbits in headlights.,movie
86,"While you suspect it's really just a big Clash Of The Titans spoiler, there's enough action in Jackson to make it succeed on its own terms. Lerman's a likeable lead, though it's the game supporting cast that keeps you watching.",movie
87,"It's evidently Potter-ish, but unashamedly aimed at younger viewers - which makes the emphasis on the junior hero's fighting skills and a clearly misguided Las Vegas casino sequence all the more dismaying.",movie
88,"It is great to see Greek Mythology taking centre stage, even if people must say ""no way"", ""yes way"" when faced with a fire-breathing hydra.",movie
89,Digitisation reigns - spectacular visual effects - while the dialogue drizzles and sploshes.,movie
90,"If they'd played it for laughs it might just have worked, but in fact its earnest tone and digimation effects stick pretty close to the Potter model. We could be in for a very long haul.",movie
